text,label_sentiment,zero_shot_prediction_bart
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
2,,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
2,,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
2,,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
2,,negative
0,negative,negative
0,negative,negative
2,,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
1,positive,negative
1,positive,negative
0,negative,negative
1,positive,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
2,,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
2,,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
2,,negative
0,negative,negative
1,positive,negative
2,,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
2,,negative
0,negative,negative
0,negative,negative
2,,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
2,,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
2,,negative
0,negative,negative
2,,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
0,negative,negative
0,negative,negative
1,positive,negative
0,negative,negative
1,positive,negative
0,negative,negative
0,negative,negative
1,positive,negative
1,positive,negative
1,positive,negative
2,,negative
0,negative,negative
1,positive,negative
